folder,file_count
"Domenico Theotokópoulos, called El Greco","3"
"Francisco de Zurbarán","3"
"Jean Hey,","3"
"Giovanni Battista Piazzetta","3"
"David Teniers the Younger","3"
"Northern Italian","3"
"Henry Fuseli","3"
"Jusepe de Ribera","3"
"Eugène Louis Boudin","3"
"Luca Giordano","3"
"Nicolas Bertin","3"
"Sébastien Bourdon","3"
"Anders Zorn","3"
"Piero di Cosimo","3"
"Jan Gossart","3"
"Giambattista Moroni","3"
"Jan Claesz.","3"
"Pieter Isaacsz.","3"
"Pieter Wouwerman","3"
"Peeter Neeffs","3"
"Sebastiano Ricci","3"
"Fra Angelico","3"
"Workshop of Apollonio di Giovanni","3"
"George Frederick Watts","3"
"Pietro Longhi","3"
"Paul Bril","3"
"Aert de Gelder","3"
"Bernardo Strozzi","3"
"Joos de Momper, II","3"
"Samuel van Hoogstraten","3"
"Jean-François Rafaëlli","3"
"François Bonvin","3"
"Leon Kroll","3"
"Pieter Lastman","3"
"Benjamin Gerritsz Cuyp","3"
"Pieter Fransz de Grebber","3"
"Pieter Jansz Quast","3"
"Claes Jacobsz van der Heck","3"
"Bartholomeus Breenbergh","3"
"Nicolas de Largillière","3"
"North Netherlandish","3"
"Wilhelm List","2"
"Giuseppe Pietro Bagetti","2"
"Jean Delville","2"
"Herbert James","2"
"Abbott Fuller Graves","2"
"Charles-François Jalabert","2"
"Victor Gabriel Gilbert","2"
"Alberto Zardo","2"
"Carl Julius von Leypold","2"
"Joachim Patinir","2"
"Otto Marseus van Schrieck","2"
"John Rubens Smith","2"
"Alonso Sánchez Coello","2"
"Antonello da Messina (Antonello di Giovanni d'Antonio)","2"
"Annibale Carracci","2"
"Dieric Bouts","2"
"Johann Liss","2"
"Lorenzo Lotto","2"
"Andrea Riccio","2"
"Tilman Riemenschneider","2"
"Jean-Louis Lemoyne","2"
"Guillaume Coustou the Elder","2"
"Jean-Baptiste Carpeaux","2"
"Nicoya","2"
"Chinesco","2"
"Rogier van der Weyden","2"
"Sir Thomas Lawrence","2"
"Willem van Mieris","2"
"Adolphe Schreyer","2"
"Pierre Andrieu","2"
"Martin de Soria","2"
"Giuseppe Maria Crespi","2"
"Joaquín Sorolla y Bastida","2"
"Henri Edmond Cross","2"
"Carlo Crivelli","2"
"Jean Louis Forain","2"
"Anne-Louis Girodet de Roussy-Trioson","2"
"Jacob Ochtervelt","2"
"Frédéric Bazille","2"
"Pierre Henri de Valenciennes","2"
"Jean Antoine Watteau","2"
"Apollonio di Giovanni","2"
"Jean Antoine Houdon","2"
"Guercino","2"
"Giovanni Girolamo Savoldo","2"
"Master of the Antwerp Adoration Group","2"
"Alexandre Gabriel Decamps","2"
"John Hesselius","2"
"Julian Alden Weir","2"
"Sheldon Peck","2"
"Jonas Welch Holman","2"
"Charles Webster Hawthorne","2"
"Elie Nadelman","2"
"Solon Hannibal Borglum","2"
"George Grey Barnard","2"
"Milton Horn","2"
"Raymond Jonson","2"
"Mezcala","2"
"William Keith","2"
"Coco Schoenberg","2"
"Charles Grafly","2"
"Robert S. Duncanson","2"
"Dirck Barendsz.","2"
"Maerten de Vos","2"
"Bartholomeus Spranger","2"
"Leandro Bassano","2"
"Kerstiaen de Keuninck","2"
"Willem Ossenbeeck","2"
"Abraham Beerstraten","2"
"Jacob Hogers","2"
"Willem de Poorter","2"
"Félix Edouard Vallotton","2"
"Aimé-Jules Dalou","2"
"Alfred Stevens","2"
"Laurent de La Hyre","2"
"Benedetto Buglioni","2"
"Sano di Pietro","2"
"Alessandro Algardi","2"
"Jean Louis Ernest Meissonier","2"
"Workshop of Severo da Ravenna","2"
"Angelica Kauffmann","2"
"Ugolino di Nerio","2"
"Eugène Fromentin","2"
"Francesco Bertos","2"
"Bernardino Jacobi Butinone","2"
"Sir John Edward Poynter","2"
"Albert André","2"
"Émile Bernard","2"
"Georges Michel","2"
"Follower of Canaletto","2"
"Jacques Blanchard","2"
"Corneille de Lyon","2"
"Joachim Beuckelaer","2"
"Jozef Israëls","2"
"Richard Parkes Bonington","2"
"Spinello Aretino","2"
"William S. Schwartz","2"
"Alexander Phimister Proctor","2"
"Margo Hoff","2"
"Osias Beert","2"
"Jacob Symonsz Pynas","2"
"Clara Peeters","2"
"Jan Tengnagel","2"
"Alexander Adriaenssen","2"
"Hendrick Bloemaert","2"
"Hendrik Meerman","2"
"Jacob Gerritz Loef","2"
"Bonaventura Peeters","2"
"Abraham van den Hecken","2"
"Desiderio da Settignano","2"
"Mariano Fortuny y Marsal","2"
"John Rathbone","2"
"Saint George Hare","1"
"Karl Heilmayer","1"
"Maximilian Lenz","1"
"Vittorio Reggiani","1"
"Henri Camille Danger","1"
"Karl Eduard Biermann","1"
"Carlo Maratti","1"
"Mihály Zichy","1"
"Paul Delvaux","1"
"Adolf Mosengel","1"
"Andrew Wyeth","1"
"Warren Sheppard","1"
"Luther Emerson Van Gorder","1"
"Ivan Konstantinovich Aivazovsky","1"
"Mihaly Zichy","1"
"Raffaello Sorbi","1"
"Giovanni Campana","1"
"August Friedrich Siegert","1"
"Jacques de Gheyn II","1"
"Charles Howard Hodges","1"
"Palma il Giovane","1"
"Karl von Piloty","1"
"Samuel Scott","1"
"Adolph von Menzel","1"
"Luis de la Cruz","1"
"Jacques-Joseph de Gault","1"
"Louis Francis de Paul Binsse","1"
"Mihály Munkácsy","1"
"Master of Saint Giles","1"
"Isabella Beetham","1"
"Henry Farrer","1"
"Arkhip Kuindzhi","1"
"Jacob de Gheyn II","1"
"Louis Rémy Mignot","1"
"Jan van Ravesteyn","1"
"Jacob Maentel","1"
"Pierre Louis Dumesnil","1"
"Philippe Rousseau","1"
"Anton Dieffenbach","1"
"Carlo Cignani","1"
"Joseph Bartholomew Kidd","1"
"Charles-Antoine Coypel","1"
"August Heinrich","1"
"Robert Havell Jr.","1"
"Unknown Artist","1"
"Giuseppe Castiglione (Lang Shining 郎世寧)","1"
"Charles-Edouard de Beaumont","1"
"Fernand Khnopff","1"
"Botticelli","1"
"Velázquez","1"
"Ferdinand Hodler","1"
"Quinten Massys","1"
"Duccio di Buoninsegna","1"
"Master of the Saint Ursula Legend","1"
"North Netherlandish Painter","1"
"Vittore Carpaccio","1"
"Jacopo di Arcangelo","1"
"Joos van Wassenhove","1"
"Biagio d'Antonio","1"
"Fra Carnevale","1"
"Giovanni di Tano Fei","1"
"Follower of Rogier van der Weyden","1"
"John Hoppner","1"
"Alexandre Evariste Fragonard","1"
"Domenico Fetti","1"
"Aelbert Bouts","1"
"Adam August Müller","1"
"Diego de Pesquera","1"
"Andrea della Robbia","1"
"Giovanni Pisano","1"
"Balthasar Permoser","1"
"Juan Martínez Montañés","1"
"Augustin Pajou","1"
"Johann Peter Melchior","1"
"Tullio Lombardo","1"
"Giovanni Battista Foggini","1"
"Anne Seymour Damer","1"
"Johann Gottlieb Kirchner","1"
"Frédéric Auguste Bartholdi","1"
"Franz Xaver Messerschmidt","1"
"Master of the Biberach Holy Kinship","1"
"Launt Thompson","1"
"François Pompon","1"
"Gil de Siloé","1"
"Alexander Tondeur","1"
"Frederick Ruckstull","1"
"Mina Lowry","1"
"Cornelius Christoffels","1"
"Bernat Martorell","1"
"Bartolomeo Manfredi","1"
"Juan Sánchez Cotán","1"
"John Philip Simpson","1"
"Francesco Mochi","1"
"Jan Sanders van Hemessen","1"
"Carl Blechen","1"
"Dante Gabriel Rossetti","1"
"Frans Snyders","1"
"Joachim Antonisz. Wtewael","1"
"Antonio da Correggio","1"
"Fra Bartolommeo","1"
"Jacques de Baerze","1"
"Giovanni Battista Moroni","1"
"Sebastiano del Piombo","1"
"Majel G. Claflin","1"
"Follower of Frans Hals","1"
"Workshop of Rembrandt van Rijn","1"
"Cecco del Caravaggio","1"
"Gaston La Touche","1"
"Adriaen van der Spelt","1"
"Antonio Mancini","1"
"Jean Baptiste Édouard Detaille","1"
"Bartolomeo di Giovanni","1"
"El Greco  and workshop","1"
"Antonio Maragliano","1"
"Workshop of Dieric Bouts","1"
"Giorgio Vasari","1"
"Eastern Mediterranean","1"
"Jean Louis André Théodore Géricault","1"
"Quentin Massys","1"
"Dutch","1"
"Cristoforo Stati","1"
"Bernard d'Agescy","1"
"Workshop of Hieronymus Bosch","1"
"Jean Baptiste Joseph Wicar","1"
"Master of the Female Half-Lengths","1"
"Abraham Janssens","1"
"Luca Cambiaso","1"
"Alberto Pasini","1"
"Master of the Worcester Carrying of the Cross","1"
"Evert Pieters","1"
"Raffaello Botticini","1"
"Bartolomé Estéban Murillo","1"
"Giovanni Baglione","1"
"Paolo Antonio Barbieri","1"
"Pontormo,","1"
"Paul Signac","1"
"Jacob Cornelisz. van Oostsanen","1"
"Jean Siméon Chardin","1"
"Hippolyte Bellangé","1"
"Eustache Le Sueur","1"
"Giovanni Boldini","1"
"Francesco Solimena","1"
"Workshop of Rogier van der Weyden","1"
"Colyn de Coter","1"
"Claude Joseph Vernet","1"
"Hamo Thornycroft","1"
"Francesco de Mura","1"
"Ker-Xavier Roussel","1"
"Pier Francesco Mola","1"
"After Cornelis Cort","1"
"Francesco Albani","1"
"Imitator of Titian","1"
"Jacopo da Empoli","1"
"Domenico Tintoretto","1"
"Alessandro Allori","1"
"Lambert Sigisbert Adam","1"
"Juan de Zurbarán","1"
"Moretto da Brescia","1"
"Jean Baptiste François Désoria","1"
"Thomas Fearnley","1"
"Francesco Paolo Michetti","1"
"Louis-Léopold Boilly","1"
"Jean-Joseph Carriès","1"
"After Eugène Delacroix","1"
"Philippe Jacques de Loutherbourg, II","1"
"Ridolfo Ghirlandaio","1"
"Hans Thoma","1"
"John Jackson","1"
"Nicholas Dixon","1"
"James Ensor","1"
"Arnold Rönnebeck","1"
"Charles Spencer Humphreys","1"
"Victor Dubreuil","1"
"James Roy Hopkins","1"
"Robert Bartholow Harshe","1"
"Erastus Salisbury Field","1"
"Arvid Frederik Nyholm","1"
"Léon Gaspard","1"
"William Edmondson","1"
"Brian Connelly","1"
"Hopi Tribe","1"
"David Alfaro Siqueiros","1"
"Marco Zim","1"
"Nopiloa","1"
"Gleb W. Derujinsky","1"
"Robert Laurent","1"
