folder,file_count
"bartholomeus-spranger","1"
"bartholomeus-van-bassen","1"
"bartholomeus-van-bassen-esaias-van-de-velde","1"
"bartholomeus-van-der-helst","1"
"bartolome-bermejo","1"
"bartolome-esteban-murillo","1"
"bartolome-esteban-murillo-spanish-1617-1682","1"
"bartolomeo-ammanati","1"
"bartolomeo-bellano","1"
"bartolomeo-di-giovanni","1"
"bartolomeo-manfredi","1"
"bartolomeo-montagna","1"
"bartolomeo-salvestrini","1"
"bartolomeo-veneto-italian-1531","1"
"bartolome-perez-spanish-1634-1693","1"
"bartolommeo-bulgarini","1"
"bartolommeo-fra","1"
"bartolommeo-montagna","1"
"bartolommeo-suardi","1"
"bartolommeo-vivarini","1"
"bart-van-hove","1"
"basavana-indian-active-c-1560-1600","1"
"battista-di-biagio-sanguigni-italian-active-1393-1451","1"
"battista-dossi-italian-c-1490-1548","1"
"beauford-delaney","1"
"begona-sopena","1"
"beheading-between-iii-and-iv-a","1"
"belgian","1"
"belgrade-city-museum-photographer-vladimir-popovic-and-johann-boss","1"
"benedetto-buglioni","1"
"benjamin-gerritsz-cuyp","1"
"benjamin-trott","1"
"benjamin-west","1"
"benjamin-west-american-1738-1820","1"
"ben-neill","1"
"bennett-stookey","1"
"benny-andrews","1"
"ben-shahn","1"
"benton-spruance","1"
"benvenuto-cellini","1"
"berenice-abbott","1"
"berlinghiero-italian-before-1242","1"
"bernard-dagescy","1"
"bernard-gaillot-french-1780-1847","1"
"bernardino-da-brescia","1"
"bernardino-jacobi-butinone","1"
"bernardino-luini","1"
"bernardino-nocchi","1"
"bernardino-zaganelli-di-bosio","1"
"bernardo-bellotto","1"
"bernardo-cavallino","1"
"bernardo-parentino-italian","1"
"bernardo-strozzi","1"
"bernardo-strozzi-italian-1581-1644","1"
"bernard-reder","1"
"bernardus-van-schijndel","1"
"bernard-vaillant","1"
"bernard-van-orley","1"
"bernard-zwaerdecroon","1"
"bernat-martorell","1"
"berthe-morisot","1"
"berthe-morisot-french-1841-1895","1"
"bessie-potter-vonnoh","1"
"betsy-graves-reyneau","1"
"betsy-karel","1"
"biagio-dantonio","1"
"bian-shoumin-chinese-1684-1752","1"
"bian-wenjin-chinese-about-1354-1428","1"
"bicci-di-lorenzo-italian-1373-1452","1"
"bichitr-indian-active-c-1615-50","1"
"bikash-bhattacharjee","1"
"bill-goldston","1"
"bishandas-indian","1"
"bishandas-indian-active-c-1610-30","1"
"bokkei-saiyo-japanese-1415-1473","1"
"bolognese","1"
"bonaventura-peeters-i","1"
"borgognone","1"
"borman-workshop","1"
"botticelli","1"
"brassai","1"
"brian-chugg","1"
"brian-connelly","1"
"brigitte-freed","1"
"british","1"
"british-school","1"
"briton-riviere","1"
"brunswijkse-monogrammist","1"
"b-schaak","1"
"byzantine","1"
"caesar-van-everdingen","1"
"camille-flers-french-1802-1868","1"
"camille-pissarro","1"
"camille-pissarro-french-1830-1903","1"
"canaletto","1"
"captain-edward-h-molyneux","1"
"caravaggio-italian-1571-1610","1"
"carducius-plantagenet-ream","1"
"carel-de-moor-ii","1"
"carel-fabritius","1"
"carel-visser","1"
"carel-willink","1"
"carl-blechen","1"
"carl-ethan-akeley","1"
"carl-gaertner-american-1898-1952","1"
"carl-hallsthammar","1"
"carl-julius-von-leypold","1"
"carl-milles","1"
"carlo-ceresa","1"
"carlo-cignani","1"
"carlo-crivelli","1"
"carlo-dolci-italian-1616-1687","1"
"carlo-maratta","1"
"carlo-maratti-italian-1625-1713","1"
"carlo-portelli","1"
"carl-rottmann","1"
"carl-walters","1"
"carmen-schilaci","1"
"caroline-l-ransom-american-1838-1910","1"
"caroline-streatfield","1"
"carolino-da-viterbo-italian","1"
"case-hudson","1"
"caspar-berger","1"
"caspar-david-friedrich","1"
"caspar-gras","1"
"caspar-gras-giambologna","1"
"caspar-netscher","1"
"caspar-van-wittel","1"
"caterino-veneziano-italian-active-1362-82","1"
"catharina-van-hemessen","1"
"catherine-brooks","1"
"c-bozet","1"
"cecco-del-caravaggio","1"
"cecilia-beaux","1"
"celestin-francois-nanteuil-french-1813-1873","1"
"celia-vasquez-yui","1"
"cesare-agostino-detti","1"
"cesare-tallone","1"
"chaerles-de-hooch","1"
"chae-yongshin-korean-1848-1941","1"
"chaim-gross","1"
"chaim-soutine-russian-1893-1943","1"
"chancay","1"
"charles-alfred-meurer","1"
"charles-antoine-coypel","1"
"charles-bargue","1"
"charles-b-lawrence","1"
"charles-christian-nahl","1"
"charles-courtney-curran","1"
"charles-crozatier-adriaen-de-vries","1"
"charles-demuth","1"
"charles-edouard-de-beaumont","1"
"charles-emile-champmartin","1"
"charles-emile-jacque-french-1813-1894","1"
"charles-ernest-cundall","1"
"charles-francois-daubigny","1"
"charles-francois-daubigny-french-1817-1878","1"
"charles-francois-jalabert","1"
"charles-gifford-dyer","1"
"charles-grafly","1"
"charles-green-shaw","1"
"charles-harold-davis","1"
"charles-harold-davis-american-1856-1933","1"
"charles-henri-joseph-cordier","1"
"charles-howard","1"
"charles-howard-hodges","1"
"charles-joseph-biederman","1"
"charles-le-brun","1"
"charles-loring-elliott-american-1812-1868","1"
"charles-louis-lucien-muller","1"
"charles-melville-dewey","1"
"charles-meryon","1"
"charles-meynier","1"
"charles-meynier-french-1768-1832","1"
"charles-poerson-french-1609-1667","1"
"charles-prendergast","1"
"charles-ritt","1"
"charles-robert-leslie","1"
"charles-samuel","1"
"charles-shackleton-american-1856-1920","1"
"charles-sheeler","1"
"charles-sheeler-american-1883-1965","1"
"charles-spencer-humphreys","1"
"charles-sprague-pearce","1"
"charles-sydney-hopkinson","1"
"charles-van-wijk","1"
"charles-webster-hawthorne","1"
"charles-w-hawthorne-american-1872-1930","1"
"charles-white","1"
"charles-willson-peale","1"
"charles-willson-peale-american-1741-1827","1"
"charlotte-van-pallandt","1"
"chauncey-bradley-ives","1"
"chen-chun-chinese-1483-1544","1"
"chen-hongshou-chinese-1598-99-1652","1"
"chen-juzhong-chinese-active-c-1201-1207","1"
"chen-ruyan-chinese-c-1331-1371","1"
"chester-beach","1"
"chester-harding","1"
"chester-harding-american-1792-1866","1"
"cheyenne","1"
"chicago-painter","1"
"childe-hassam","1"
"childe-hassam-american-1859-1935","1"
"chimu","1"
"chinesco","1"
"chitarman-ii-indian-c-1680-1750","1"
"chitqua","1"
"chobunsai-eishi-japanese-1756-1829","1"
"choe-seok-hwan-korean-active-first-half-of-19th-century","1"
"choi-eun-kyung","1"
"chokha-indian-active-c-1799-1824","1"
"chokichi-japanese","1"
"christen-k-bke-danish-1810-1848","1"
"christiaen-jansz-dusart","1"
"christiaen-jansz-van-bieselingen","1"
"christiaen-van-dielaert","1"
"christian-krohg","1"
"christo","1"
"christoffel-lubienitzki","1"
"christoffel-mittscherlich","1"
"christoffel-puytlinck","1"
"christoffer-wilhelm-eckersberg","1"
"christopher-brown","1"
"chronis-botsoglou","1"
"chuck-close","1"
"chupicuaro","1"
"circle-of-adriaen-isenbrant","1"
"circle-of-agnolo-bronzino","1"
"circle-of-donatello","1"
