constituentid,name,image_count
9808,"Ms. Dian Woodner and Ms. Andrea Woodner",208
2501,"John Flaxman",207
9743,"Mr. and Mrs. Robert A. Hauslohner",207
889,"Hill-Stone, Inc.",206
12747,"Johannes van Doetechum the Elder",205
12748,"Lucas van Doetechum",205
2739,"André Dunoyer de Segonzac",205
23136,"Christie's",205
28401,"Martin Aufhäuser",204
7787,"Mina Lowry",204
2444,"Lovis Corinth",204
13179,"Eugene L. and Marie-Louise Garbáty Fund",204
53401,"Larry D. and Brenda A. Thompson",204
781,"Wynne Rice Hugh Jeudwine",202
1612,"Thomas le Claire Kunsthandel",202
1620,"Southwestern Bell Corporation",201
39022,"Larry Fink",201
18899,"Sotheby's, London",199
40350,"Jim Goldberg",199
42764,"Jack and Margrit Vanderryn",197
44454,"Associated Press",196
1316,"Jean Honoré Fragonard",195
18681,"Wright Morris",195
23756,"Oskar Hainauer",194
7085,"Ambroise Vollard",194
603,"Dr. and Mrs. Maclyn E. Wade",192
16616,"Estate of George R. Bunker",192
23757,"Julie Hainauer",191
24606,"Lewis Baltz",191
962,"Albert Besnard",190
556,"Mrs. Harry G. Steele",189
1843,"Tyler Graphics Ltd.",189
52072,"James Goodfriend",189
810,"Marlborough Gallery",187
2724,"Ed Ruscha",187
6149,"Seymour Lipton",187
22253,"Graciela Iturbide",187
26709,"Irving Penn",186
2340,"Josef Albers",185
15439,"Charles Ritt",185
4705,"Sol LeWitt",184
26158,"Paul Mellon Fund",183
37625,"Fern Schad",183
36527,"Enrico Cortona",182
1212,"Jacques-Louis David",181
290,"R. Horace Gallatin",180
1330,"Paul Gauguin",178
44358,"Dorothea Lange",178
2830,"French 17th Century",177
909,"Wildenstein & Co., Inc.",176
3267,"Various Artists",176
34877,"George C. Miller",175
28027,"Andy Goldsworthy",175
135,"Miss Elisabeth Achelis",174
437,"Mr. and Mrs. N. Richard Miller",174
1590,"Ursus Books and Prints, Ltd.",174
42,"Ian Woodner",173
1847,"Sir Peter Paul Rubens",172
118,"Robert E. Meyerhoff",172
52820,"Mark Katzman",172
1283,"The Honorable Robert H. Thayer",171
48870,"Sandy Dolnier",171
12034,"Gagosian Gallery",169
7373,"Cornelius Christoffels",168
786,"Kennedy Galleries",168
42685,"William Andrews Clark",168
38134,"Ruth and Jacob Kainen Memorial Acquisition Fund",168
72,"Albrecht Altdorfer",167
35160,"David Knaus",167
14971,"Anthony Zepeda",166
43044,"Medallic Art Company",166
1259,"Sir Anthony van Dyck",165
9716,"Smithsonian American Art Museum",164
394,"Mr. Robert M. Light",163
3779,"Hieronymus Cock",161
1858,"John Singer Sargent",161
7434,"Yolande Delasser",161
8490,"Thomas Benedict Clarke",160
35674,"James Castle Collection and Archive, LP",160
42695,"Betsy Frampton",159
46256,"Timothy and Suzanne Hyde",159
7375,"Majel G. Claflin",158
31464,"Gregory and Aline Gooding",157
2141,"Käthe Kollwitz",156
12795,"The Edward R. Broida Trust",156
1401,"Winslow Homer",155
544,"Mrs. Charles E. Slatkin",155
30452,"Mark Ruwedel",154
8116,"John Tarantino",153
1123,"Mrs. Frederick Zimmermann",153
35420,"Milton Rogovin",153
37702,"Jeffrey Fraenkel and Alan Mark",153
1353,"Francisco Goya",152
707,"Craddock and Barnard",152
1903,"Frank Stella",152
1031,"Pieter Bruegel the Elder",150
15257,"Mr. and Mrs. Peter MacGill",149
37573,"Faya Causey",149
17314,"Howard Greenberg Gallery",148
2568,"Augustin Hirschvogel",147
2759,"Benton Spruance",147
19418,"Diana Walker",147
33049,"Ben Shneiderman",147
836,"The Old Print Shop",146
1637,"Mr. Harvey S. Shipley Miller",146
16010,"Robert Brown Gallery",145
47118,"Emily Sargent",144
2163,"Aristide Maillol",143
5168,"Crispijn van de Passe I",143
101,"Mr. and Mrs. Burton G. Tremaine, Sr.",143
24045,"Neelon Crawford",140
1679,"Andrew Edmunds",139
41392,"Betsy Karel",139
50668,"John S. Parsley",139
1820,"Odilon Redon",138
700,"Lunn Limited",138
10726,"Ron McPherson",138
35269,"Charina Endowment Fund",138
44830,"Magnum Photos",137
34987,"Gallery Luisotti",136
1484,"Lucas van Leyden",135
841,"Parke-Bernet Galleries, Inc.",135
342,"International Art Foundation, Inc.",135
1968,"Max Weber",134
11207,"Zigmunds Priede",134
1005,"Millard Acquisition Fund",134
28885,"Solomon Fine Art",134
42827,"The Society of Medalists",134
8515,"American Art Association",133
6937,"Christo",133
2342,"Heinrich Aldegrever",132
2705,"Imre Reiner",132
912,"Herr Wolfgang Wittrock",132
24436,"Mr. and Mrs. Lee Fensterstock",132
47119,"Violet Sargent Ormond",132
51462,"Joanne Leonard",132
2686,"Giovanni Battista Piranesi",130
501,"Dr. Andrew Robison",130
52353,"Richard Ross",130
542,"Mrs. John W. Simpson",129
39083,"Antoine-Louis Barye",129
1629,"The Christian Humann Foundation",129
14020,"National Gallery of Art Library",129
21728,"Jack Vanderryn",129
7416,"John Dana",128
9752,"Dr. and Mrs. Richard Susel",128
1107,"Mary Cassatt",127
7468,"Francis Law Durand",127
199,"Mrs. Andrew G. Carey",127
514,"David E. Rust",127
11208,"Bill Goldston",127
6729,"Paul Strand",127
7193,"The Ian Woodner Family Collection, Inc.",127
6903,"Pat Steir",127
1115,"Paul Cezanne",126
19605,"James Reid",126
23749,"Gaillard F. Ravenel and Frances P. Smyth-Ravenel Fund",126
1400,"Hans Holbein the Younger",125
2736,"Martin Schongauer",125
815,"Paul McCarron",125
30424,"John Divola",125
1939,"Joseph Mallord William Turner",124
2350,"Robert Austin",123
2622,"Auguste Lepère",123
2788,"Elihu Vedder",123
28418,"Estate of Lilian and Benjamin Hertzberg",123
46863,"Souls Grown Deep Foundation",123
48465,"Brigitte Freed",123
2421,"Charles Meryon",122
7357,"Charles Caseau",122
4160,"Philip Galle",121
3305,"Jacques Villon",121
483,"Print Council of America",121
6717,"Robert Mangold",121
13450,"Felice Beato",121
30239,"Karl Blossfeldt",121
333,"Philip Hofer",120
2561,"Stanley William Hayter",120
2348,"John Taylor Arms",119
26464,"Rachel Fuller",119
2769,"Herman van Swanevelt",116
1438,"Franz Kline",116
795,"August Laube",116
1600,"The Horace W. Goldsmith Foundation",116
1379,"Childe Hassam",115
5398,"Théodore Roussel",115
6162,"Willem de Passe",115
11204,"Estate of Mr. Thomas G. Klarner",115
20532,"Eric Denker",115
7782,"Edward L. Loper",114
13184,"Master of the Small Landscapes",114
1189,"Sherwood B. Smith, Jr.",114
383,"Mrs. Sara L. Lepman",114
30908,"Emily York",114
4363,"William Hogarth",113
4171,"Léonard Gaultier",113
3969,"Jean Dubuffet",113
10288,"Sigbert Marzynski",113
13566,"André Kertész",113
614,"Mr. and Mrs. J. Watson Webb",112
4954,"Israhel van Meckenem",112
1706,"Henri Matisse",112
584,"Mrs. Lillian S. Timken",112
782,"Jan Johnson",111
18763,"Galerie Lelong",111
5401,"Thomas Rowlandson",110
4109,"Arthur L. Flory",110
774,"Hirschl & Adler Galleries",110
35006,"Federal Art Project (New York City)",110
30567,"Daniela Laube",110
16502,"Garry Winogrand",109
38754,"Mr. David Mahoney",109
7192,"Galerie Arnoldi-Livie",108
37506,"Estate of Brassaï",108
30648,"Joseph Bellows Gallery",108
48903,"Richard and Alice Thall",108
7175,"Samuel H. Kress",107
14970,"Daniel Freeman",107
48860,"William Rudolf",107
180,"Mr. C.G. Boerner",106
7854,"Henry Meyers",106
1721,"Joan Miró",106
1011,"R. K. Mellon Family Foundation",106
1296,"Mr. Ladislaus von Hoffmann",106
1169,"Jean-Baptiste-Camille Corot",105
5182,"Claes Jansz Visscher",105
8173,"Harry Mann Waddell",105
609,"Mr. and Mrs. George W. Ware",105
9797,"Estate of Arthur Liebman",105
17836,"Rodolphe Darzens",105
23160,"Jane P. Watkins",105
53279,"Alexander Kirillov",105
7207,"Nicholas Amantea",104
4055,"William Faithorne",104
18314,"The Ahmanson Foundation",104
36881,"Kurt Wolff",104
36246,"La Portantina di Mattia Jona",104
37725,"Leo Rubinfien",104
46605,"Stephan Loewentheil",104
8413,"Durand-Ruel et Cie",103
1080,"Canaletto",103
6158,"Magdalena van de Passe",103
23682,"Georg Heym",103
53505,"Spamersche Buchdruckerei, Leipzig",103
8416,"Andrew W. Mellon",102
996,"François Boucher",102
1842,"Georges Rouault",102
1960,"Edouard Vuillard",102
1050,"Trustees of the Ailsa Mellon Bruce Estate",102
892,"Ms. Yvonne tan Bunzl",102
30357,"James V. Smith",102
1512,"Mr. and Mrs. Will Barnet",102
1624,"The Georgia O'Keeffe Foundation",102
13635,"Mr. Donald Vogler",102
53164,"Sedrick E. Huckaby",101
53960,"Gustavo Garcia",101
53961,"Veronica Hanssens",101
9511,"Trivulzio collection",100
6143,"Renold Elstrack",100
3707,"Mark Catesby",100
6055,"Mark Stock",100
1297,"Mr. and Mrs. James T. Dyke",100
10491,"David and Constance Yates",100
48989,"W. P. Watson Antiquarian Books",100
1818,"Raphael",99
2482,"Jean-Michel Moreau the Younger",99
7994,"Janet Riza",99
792,"Galerie Kornfeld",99
1676,"A. Thompson Ellwanger, III",99
16044,"William Bailey",99
29608,"Mitchell and Nancy Steir",99
30994,"Guerrilla Girls",99
32991,"Mr. David F. Wright",99
7348,"Giacinto Capelli",98
11741,"The Judith Rothschild Foundation",98
15728,"Katharine Shepard Fund",98
20159,"Robert Bergman",98
27708,"Olga Hirshhorn",98
10391,"Paul Guillaume",97
548,"Mr. Robert H. Smith",97
11209,"John Lund",97
689,"M. André Candillier",97
6322,"Saul Steinberg",97
1238,"Ms. Kate Ganz",97
7535,"Frank Fumagalli",96
389,"Mr. Albert Lewin",96
34812,"Fritz Gurlitt",96
752,"C. & J. Goodfriend",96
1054,"Mr. and Mrs. Harry H. Lunn, Jr.",96
1651,"Mr. and Mrs. Paul Borghi",96
3185,"Wayne Thiebaud",95
